REGIÓN;SERVICIO;ITEM;CÓD BIP;NOMBRE INICIATIVA DE INVERSIÓN;ETAPA MIDESO;NUEVO/ ARRASTRE;MONTO 2015;MONTO 2016;MONTO 2017;MONTO 2018;SALDO
Arica y Parinacota;Obras Hidráulicas;PROYECTOS;30105868-0;CONSERVACION DE RIBERAS DE CAUCES NATURALES REG. ARICA Y PARINACOTA;EJECUCION;A   ;53;0;0;0;0
Arica y Parinacota;Obras Hidráulicas;PROYECTOS;30297832-0;CONSERVACIÓN DE RIBERAS DE CAUCES NATURALES XV REGIÓN;EJECUCION;N   ;100.000;0;0;0;0
Arica y Parinacota;Obras Hidráulicas;PROYECTOS;30309022-0;CONSERVACION DE OBRAS DE RIEGO FISCALES XV REGIÓN;EJECUCION;A   ;547;0;0;0;0
Arica y Parinacota;Obras Hidráulicas;PROYECTOS;30309022-0;CONSERVACION DE OBRAS DE RIEGO FISCALES XV REGIÓN;EJECUCION;N   ;149.701;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30036559-0;CONSTRUCCION REPOSICION RED VIAL ANDINA SECTOR: PARINACOTA VISVIRI;EJECUCION;A   ;5.630;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30076726-0;REPOSICION RUTA 11 CH, SECTOR ARICA TAMBO QUEMADO KM 36 - 60;EJECUCION;A   ;1.000;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30076726-0;REPOSICION RUTA 11 CH, SECTOR ARICA TAMBO QUEMADO KM 36 - 60;EJECUCION;N   ;530.000;7.860.000;6.360.000;11.020.000;0
Arica y Parinacota;Vialidad;PROYECTOS;30077061-0;REPOSICION RUTA 11 CH, SECTOR: ARICA TAMBO QUEMADO KM 170 AL 192;EJECUCION;A   ;54.002;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30077061-0;REPOSICION RUTA 11 CH, SECTOR: ARICA TAMBO QUEMADO KM 170 AL 192;EJECUCION;N   ;1.073.243;5.480.000;10.700.000;5.200.000;0
Arica y Parinacota;Vialidad;PROYECTOS;30078323-0;REPOSICION RUTA 11-CH, ARICA-TAMBO QUEMADO, EL AGUILA - C. CARDONE;EJECUCION;N   ;2;2.360.000;5.300.000;3.500.000;0
Arica y Parinacota;Vialidad;PROYECTOS;30079107-0;REPOSICION PAVIMENTACION Y CONSTRUCCION 3° PISTA RUTA 5, SECTOR: CUESTA CAMARONES;EJECUCION;A   ;763.613;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30079222-0;REPOSICION PAVIMENTO Y CONSTRUCCION 3° PISTA RUTA 5, SECTOR: CUESTA ACHA;EJECUCION;A   ;1.541.523;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30080285-0;CONSERVACION SANEAMIENTO CAMINOS RURALES ETAPA II;EJECUCION;N   ;2.000.000;4.140.000;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30081072-0;REPOSICION PAVIMENTO Y CONSTRUCCION 3ª PISTA CUESTA CHACA NORTE;EJECUCION;A   ;33.882;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30083248-0;REPOSICION RUTA A-133, SECTOR EL BUITRE - LAS MAITAS;EJECUCION;N   ;1.700.000;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30083427-0;HABILITACION SENDA DE PENETRACION CARITAYA - MUYURI .;DISEÑO;A   ;500;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30083427-0;HABILITACION SENDA DE PENETRACION CARITAYA - MUYURI .;DISEÑO;N   ;1;391.040;20.672;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30083454-0;MEJORAMIENTO ACCESO TICNAMAR COMUNA DE PUTRE;EJECUCION;A   ;500;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30083454-0;MEJORAMIENTO ACCESO TICNAMAR COMUNA DE PUTRE;EJECUCION;N   ;500.000;1.406.000;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30083629-0;REPOSICION RUTA 11-CH, ARICA - TAMBO QUEMADO SECTOR ACCESO MINA CHOQUELIMPIE - COTACOTANI;EJECUCION;A   ;4.890.955;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30083777-0;REPOSICION RUTA 5 SECTOR ALTO CUESTA CHACA NORTE - CUESTA ACHA;EJECUCION;A   ;1.000;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30083777-0;REPOSICION RUTA 5 SECTOR ALTO CUESTA CHACA NORTE - CUESTA ACHA;EJECUCION;N   ;2;4.300.000;2.420.000;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30083779-0;REPOSICION RUTA 5 SECTOR CUESTA DE ACHA - ACCESO ARICA;EJECUCION;A   ;1.000;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30083779-0;REPOSICION RUTA 5 SECTOR CUESTA DE ACHA - ACCESO ARICA;EJECUCION;N   ;2;360.000;130.000;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30083784-0;REPOSICION RUTA 5 S LIMITE URBANO N DE ARICA - LIMITE CON PERU;EJECUCION;A   ;1.000;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30083784-0;REPOSICION RUTA 5 S LIMITE URBANO N DE ARICA - LIMITE CON PERU;EJECUCION;N   ;2;4.404.840;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30091479-0;REPOSICION RUTA A-27, SECTOR LOTEO MONTALVO - SAN MIGUEL DE AZAPA;EJECUCION;A   ;1.000;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30091479-0;REPOSICION RUTA A-27, SECTOR LOTEO MONTALVO - SAN MIGUEL DE AZAPA;EJECUCION;N   ;3.500.002;4.480.500;4.510.200;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30099049-0;REPOSICION RUTA 11 CH SECTOR PUTRE - ACCESO MINA CHOQUELIMPIE;DISEÑO;A   ;17.929;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30100796-0;MEJORAMIENTO ACCESIBILIDAD Y CONECTIVIDAD AL PUERTO DE ARICA;DISEÑO;N   ;1;749.400;532.032;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30102093-0;CONSERVACION RED VIAL REGION DE ARICA PARINACOTA 2012-2014;EJECUCION;A   ;9.166.410;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30102093-0;CONSERVACION RED VIAL REGION DE ARICA PARINACOTA 2012-2014;EJECUCION;N   ;2.639.000;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30106220-0;CONSERVACION GLOBAL MIXTO CAMINOS RED VIAL XV REGION 2011-2015;EJECUCION;A   ;5.048.999;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30113709-0;CONSERVACION GLOBAL MIXTA DE CAMINOS XV REGION AÑO 2012;EJECUCION;A   ;3.074.387;1.472.496;43.549;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30118249-0;REPOSICION RUTA 12 SECTOR CRUCE RUTA 5 - AEROPUERTO CHACALLUTA;DISEÑO;A   ;37.724;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30124737-0;MEJORAMIENTO RUTA ANDINA, SECTOR LIMITE REGIONAL-RUTA 11 CH XV REGION;PREFACTIBILIDAD;A   ;249.214;118.325;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30125649-0;CONSERVACION SISTEMA DE SEÑALIZACION INFORMATIVA REGION DE ARICA Y PARINACOTA;EJECUCION;A   ;14.800;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30125649-0;CONSERVACION SISTEMA DE SEÑALIZACION INFORMATIVA REGION DE ARICA Y PARINACOTA;EJECUCION;N   ;41.200;412.000;309.000;309.000;0
Arica y Parinacota;Vialidad;PROYECTOS;30131100-0;MEJORAMIENTO PASADA URBANA RUTAS 5 Y A-27 EN ARICA;DISEÑO;A   ;215.035;180.173;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30131100-0;MEJORAMIENTO PASADA URBANA RUTAS 5 Y A-27 EN ARICA;DISEÑO;N   ;1;1.011.000;535.601;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30132075-0;"REPOSICION RUTA 11-CH; ARICA TAMBO QUEMAD, S: C. CARDONE ZAPAHUIRA";DISEÑO;N   ;232.010;171.190;46.400;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30132117-0;"REPOSICION RUTA 11-CH, ARICA - TAMBO QUEMADO; S: ROSARIO - GUANTA";DISEÑO;A   ;500;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30132117-0;"REPOSICION RUTA 11-CH, ARICA - TAMBO QUEMADO; S: ROSARIO - GUANTA";DISEÑO;N   ;1;464.015;80.457;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30132408-0;CONSERVACION SANEAMIENTO RUTA A-235, S: CR.RUTA 11 CH - CR.RUTA A-95;DISEÑO;A   ;500;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30132408-0;CONSERVACION SANEAMIENTO RUTA A-235, S: CR.RUTA 11 CH - CR.RUTA A-95;DISEÑO;N   ;1;473.500;41.500;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30134178-0;REPOSICION RUTA 5, SECTOR : VALLE DE CHACA, COMUNA DE ARICA;EJECUCION;A   ;14.392;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30134178-0;REPOSICION RUTA 5, SECTOR : VALLE DE CHACA, COMUNA DE ARICA;EJECUCION;N   ;2;1.636.796;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30135076-0;CONSERVACION SANEAMIENTO RUTA A-23, S: CR.RUTA 11 CH-CR. RUTA A-93;DISEÑO;N   ;491.948;214.400;35.226;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30158223-0;CONSERVACION PERIODICA RUTA 11 CH KM 137,00 - KM 147,76, XV REGIÓN;EJECUCION;A   ;4.068.000;2.690.000;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30208273-0;CONSERVACION RUTA A-212, COSTANERO SUR ARICA;DISEÑO;A   ;500;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30208273-0;CONSERVACION RUTA A-212, COSTANERO SUR ARICA;DISEÑO;N   ;1;154.500;51.500;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30209022-0;CONSERVACION SANEAMIENTO RUTA A-353, CR. A-35- CORRALONES- CR. A-319;DISEÑO;A   ;500;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30209022-0;CONSERVACION SANEAMIENTO RUTA A-353, CR. A-35- CORRALONES- CR. A-319;DISEÑO;N   ;1;463.500;51.500;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30224072-0;CONSERVACION RED VIAL ADMINISTRACION DIRECTA XV REGION AÑO 2015;EJECUCION;A   ;500.783;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30224072-0;CONSERVACION RED VIAL ADMINISTRACION DIRECTA XV REGION AÑO 2015;EJECUCION;N   ;923.221;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30224172-0;CONSERVACION GLOBAL MIXTA CAMINOS RED VIAL XV REGION 2015-2019;EJECUCION;N   ;659.880;5.449.360;4.236.272;4.249.528;4.876.940
Arica y Parinacota;Vialidad;PROYECTOS;30224222-0;CONSERVACION RED VIAL ARICA Y PARINACOTA 2015-2017;EJECUCION;N   ;275.260;460.130;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30233122-0;CONSERVACION RED VIAL ANDINA S: PARINACOTA - VISVIRI XV REGION;DISEÑO;A   ;500;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30233122-0;CONSERVACION RED VIAL ANDINA S: PARINACOTA - VISVIRI XV REGION;DISEÑO;N   ;1;412.000;257.500;51.500;0
Arica y Parinacota;Vialidad;PROYECTOS;30239372-0;"REPOSICION RUTA 11 CH ARICA T.QUEMADO; ZAPAHUIRA PUTRE(KM 100-127)";DISEÑO;A   ;500;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30239372-0;"REPOSICION RUTA 11 CH ARICA T.QUEMADO; ZAPAHUIRA PUTRE(KM 100-127)";DISEÑO;N   ;1;669.500;566.500;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30241272-0;MEJORAMIENTO RUTA A-27, SECTOR KM 32 AL KM 40,2, XV REGION;DISEÑO;A   ;500;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30241272-0;MEJORAMIENTO RUTA A-27, SECTOR KM 32 AL KM 40,2, XV REGION;DISEÑO;N   ;1;360.180;103.740;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30244022-0;"MEJORAMIENTO RUTA 11 CH ARICA T.QUEMADO; CR.RUTA 5-ROSARIO,KM 0-18";DISEÑO;A   ;500;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30259173-0;CONSERVACION CAMINOS BASICOS REGION DE ARICA Y PARINACOTA 2014-2015;EJECUCION;A   ;4.431.655;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30259173-0;CONSERVACION CAMINOS BASICOS REGION DE ARICA Y PARINACOTA 2014-2015;EJECUCION;N   ;371.944;1.219.208;355.549;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30295575-0;MEJORAMIENTO RED VIAL ZONA EXTREMA RUTA A-31, SECTOR: CRUCE RUTA A-35-ZAPAHUIRA;DISEÑO;A   ;500;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30295575-0;MEJORAMIENTO RED VIAL ZONA EXTREMA RUTA A-31, SECTOR: CRUCE RUTA A-35-ZAPAHUIRA;DISEÑO;N   ;1;454.890;476.130;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30295772-0;MEJORAMIENTO RED VIAL ZONA EXTREMA RUTA A-35, SECTOR: CRUCE RUTA 5-CRUCE RUTA A-31;DISEÑO;A   ;500;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30295772-0;MEJORAMIENTO RED VIAL ZONA EXTREMA RUTA A-35, SECTOR: CRUCE RUTA 5-CRUCE RUTA A-31;DISEÑO;N   ;1;352.090;368.530;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30300972-0;CONSTRUCCION BY PASS Y REPOS RED VIAL ANDINA, S:CR 11 CH-KM 12 (CMT);EJECUCION;N   ;1;2.200.000;1.800.000;1.800.000;0
Arica y Parinacota;Vialidad;PROYECTOS;30301322-0;MEJORAMIENTO RED VIAL RUTA A-15, XV REGIÓN;DISEÑO;A   ;500;0;0;0;0
Arica y Parinacota;Vialidad;PROYECTOS;30301322-0;MEJORAMIENTO RED VIAL RUTA A-15, XV REGIÓN;DISEÑO;N   ;1;226.160;236.720;0;0
Arica y Parinacota;O. Portuarias;PROYECTOS;30065797-0;CONSTRUCCION OBRAS DE RELOCALIZACION CALETA PESQUERA DE ARICA;DISEÑO;A   ;1.200;0;0;0;0
Arica y Parinacota;O. Portuarias;PROYECTOS;30101524-0;CONSERVACIÓN OBRAS PORTUARIAS MENORES REGIÓN DE ARICA Y PARINACOTA;EJECUCION;A   ;885;0;0;0;0
Arica y Parinacota;O. Portuarias;PROYECTOS;30101524-0;CONSERVACIÓN OBRAS PORTUARIAS MENORES REGIÓN DE ARICA Y PARINACOTA;EJECUCION;N   ;1.797.688;857.629;0;0;0
Arica y Parinacota;O. Portuarias;PROYECTOS;30104652-0;MEJORAMIENTO BORDE COSTERO SECTOR EX ISLA ALACRAN COMUNA DE ARICA;EJECUCION;A   ;258;0;0;0;0
Arica y Parinacota;O. Portuarias;PROYECTOS;30132034-0;CONSTRUCCIÓN PASEO Y PROTECCIÓN BORDE COSTERO SECTOR CORAZONES, ARICA;DISEÑO;A   ;24.074;0;0;0;0
Arica y Parinacota;O. Portuarias;PROYECTOS;30132034-0;CONSTRUCCIÓN PASEO Y PROTECCIÓN BORDE COSTERO SECTOR CORAZONES, ARICA;DISEÑO;N   ;500;0;0;0;0
Arica y Parinacota;O. Portuarias;PROYECTOS;30195622-0;CONSERVACION SITIO 7 PUERTO DE ARICA ARICA;EJECUCION;N   ;550.500;2.160.483;0;0;0
Arica y Parinacota;Aeropuertos;PROYECTOS;30135520-0;CONSERVACION MAYOR AEROPUERTO CHACALLUTA ARICA, XV REGION;EJECUCION;N   ;933.683;1.396.084;0;0;0
Arica y Parinacota;Aeropuertos;PROYECTOS;30287273-0;AMPLIACIÓN Y MEJORAMIENTO AEROPUERTO CHACALLUTA, ARICA. XV REGIÓN.;PREFACTIBILIDAD;N   ;85.357;433.218;69.525;0;0
Arica y Parinacota;Adm.Sist.Concesiones;PROYECTOS;29000053-0;ASESORIAS A LA INSPECCION FISCAL AEROPUERTO DE ARICA;EJECUCION;A   ;11.853;0;0;0;0
Arica y Parinacota;Adm.Sist.Concesiones;PROYECTOS;29000053-0;ASESORIAS A LA INSPECCION FISCAL AEROPUERTO DE ARICA;EJECUCION;N   ;130.450;145.068;86.235;0;0
Arica y Parinacota;Adm.Sist.Concesiones;PROYECTOS;29000473-0;-- CONCESIÓN AEROPUERTO CHACALLUTA DE ARICA, I REGIÓN (ESTUDIOS);EJECUCION;N   ;24.104;1.728;0;0;0
Arica y Parinacota;Agua Potable Rural;PROYECTOS;30129794-0;CONSTRUCCION SISTEMA AGUA POTABLE RURAL CERRO MORENO ARICA;EJECUCION;A   ;603.532;0;0;0;0
Arica y Parinacota;Agua Potable Rural;PROYECTOS;30326124-0;CONSTRUCCION SISTEMA AGUA POTABLE RURAL PAMPA ALGODONAL, ARICA;EJECUCION;N   ;229.000;0;0;0;0
Arica y Parinacota;D.G. Aguas;ESTUDIOS BÁSICOS;30131757-0;DIAGNÓSTICO DE DISPONIBILIDAD HÍDRICA EN LA CUENCA DEL RÍO LAUCA;EJECUCION;A   ;100.000;0;0;0;0
Arica y Parinacota;D.G. Aguas;ESTUDIOS BÁSICOS;30222172-0;DIAGNOSTICO DE DISPONIBILIDAD HÍDRICA CUENCA DEL RÍO CAMARONES;EJECUCION;N   ;61.800;20.000;0;0;0
Arica y Parinacota;D.G. Aguas;ESTUDIOS BÁSICOS;30310923-0;ANALISIS INTEGRAL DE SOLUCIONES A LA ESCASEZ HÍDRICA XV REGIÓN;EJECUCION;N   ;109.699;150.000;140.301;0;0
Arica y Parinacota;D.G. Aguas;PROYECTOS;30311322-0;CONSTRUCCION REPARACIÓN Y REPOSICIÓN DE ESTACIONES FLUVIOMÉTRICAS Y METEOROLÓGICAS XV REGIÓN;EJECUCION;N   ;31.501;200.000;200.000;168.500;0
Tarapacá;Arquitectura;PROYECTOS;30276273-0;CONSERVACION EDIFICIO MOP REGIONAL, TARAPACÁ;EJECUCION;A   ;106.000;0;0;0;0
Tarapacá;Arquitectura;PROYECTOS;30360472-0;REPOSICION CAMPAMENTO HUARA, DIRECCIÓN DE VIALIDAD I REGIÓN DE TARAPACÁ;EJECUCION;A   ;1.000;0;0;0;0
Tarapacá;Arquitectura;PROYECTOS;30360472-0;REPOSICION CAMPAMENTO HUARA, DIRECCIÓN DE VIALIDAD I REGIÓN DE TARAPACÁ;EJECUCION;N   ;238.539;0;0;0;0
Tarapacá;Obras Hidráulicas;PROYECTOS;30131789-0;CONSERVACIÓN RIBERAS DE CAUCES NATURALES REGIÓN DE TARAPACÁ;EJECUCION;N   ;150.000;0;0;0;0
Tarapacá;Obras Hidráulicas;PROYECTOS;30131790-0;CONSERVACION OBRAS FISCALES DE RIEGO REGION DE TARAPACA;EJECUCION;A   ;25.187;0;0;0;0
Tarapacá;Obras Hidráulicas;PROYECTOS;30131790-0;CONSERVACION OBRAS FISCALES DE RIEGO REGION DE TARAPACA;EJECUCION;N   ;762.054;20.000;0;0;0
Tarapacá;Obras Hidráulicas;PROYECTOS;30228722-0;CONSERVACION PROTECCION RIBERAS DE CAUCES TARAPACA;EJECUCION;N   ;100.000;0;0;0;0
Tarapacá;Vialidad;PROYECTOS;20186966-0;REPOSICIÓN PAVIMENTO Y CONSTRUCCIÓN 3° PISTA RUTA 5, SECTOR ALTO CHIZA - CUYA;EJECUCION;A   ;200;0;0;0;0
Tarapacá;Vialidad;PROYECTOS;20186966-0;REPOSICIÓN PAVIMENTO Y CONSTRUCCIÓN 3° PISTA RUTA 5, SECTOR ALTO CHIZA - CUYA;EJECUCION;N   ;1.070.000;8.220.000;9.280.000;0;0
Tarapacá;Vialidad;PROYECTOS;30061396-0;REPOSICION PAVIMENTO RUTA 5 SECTOR: PINTADOS - BIFURCACION HUARA;EJECUCION;A   ;39.202;0;0;0;0
Tarapacá;Vialidad;PROYECTOS;30075669-0;CONSTRUCCION BY PASS RUTA A-65, CUESTA DUPLIJSA, PROVINCIA DEL TAMARUGAL;EJECUCION;A   ;250.685;0;0;0;0
Tarapacá;Vialidad;PROYECTOS;30076559-0;CONSERVACIÓN GLOBAL RED VIAL REGIÓN DE TARAPACÁ, AÑO 2008 - 2010;EJECUCION;A   ;831;0;0;0;0
Tarapacá;Vialidad;PROYECTOS;30078069-0;MEJORAMIENTO RUTA A-616, REGIÓN DE TARAPACÁ;EJECUCION;A   ;95.600;0;0;0;0
Tarapacá;Vialidad;PROYECTOS;30079990-0;CONSERVACION DE SEÑALES Y ELEMENTOS DE SEGURIDAD VIAL - I REGION;EJECUCION;A   ;2.841;0;0;0;0
Tarapacá;Vialidad;PROYECTOS;30080044-0;MEJORAMIENTO ROTONDA PAMPINO EN IQUIQUE;EJECUCION;A   ;1.000;0;0;0;0
Tarapacá;Vialidad;PROYECTOS;30080044-0;MEJORAMIENTO ROTONDA PAMPINO EN IQUIQUE;EJECUCION;N   ;2.700.000;0;0;0;0
Tarapacá;Vialidad;PROYECTOS;30080833-0;MEJORAMIENTO ACCESIBILIDAD Y CONECTIVIDAD EN LA CIUDAD DE IQUIQUE;EJECUCION;A   ;2.572.210;6.210.721;306.054;0;0
Tarapacá;Vialidad;PROYECTOS;30080833-0;MEJORAMIENTO ACCESIBILIDAD Y CONECTIVIDAD EN LA CIUDAD DE IQUIQUE;EJECUCION;N   ;1.500.003;6.480.000;7.240.000;2.000.000;0
Tarapacá;Vialidad;PROYECTOS;30081350-0;CONSERVACIÓN RED VIAL REGIÓN TARAPACA 2009 2010 2011;EJECUCION;A   ;130.287;0;0;0;0
Tarapacá;Vialidad;PROYECTOS;30084648-0;MEJORAMIENTO INFRAESTRUCTURA VIAL COSTANERA DE IQUIQUE;DISEÑO;A   ;580;0;0;0;0
Tarapacá;Vialidad;PROYECTOS;30091252-0;CONSERVACION RUTA 5, SECTOR ALTO TANA - ALTO CHIZA;EJECUCION;A   ;29.750;0;0;0;0
Tarapacá;Vialidad;PROYECTOS;30093165-0;MEJORAMIENTO RUTA A-760 KM 14.00 AL 54.30, REGIÓN DE TARAPACA;EJECUCION;A   ;179.653;0;0;0;0
Tarapacá;Vialidad;PROYECTOS;30093190-0;CONSERVACION GLOBAL MIXTA DE CAMINOS AÑOS 2010-2013 I REGION;EJECUCION;A   ;1;0;0;0;0
Tarapacá;Vialidad;PROYECTOS;30099566-0;CONSERVACION GLOBAL RED CAMINOS HUARA COLCHANE, PROVINCIA DE TAMARUGAL;EJECUCION;A   ;10.923;0;0;0;0
Tarapacá;Vialidad;PROYECTOS;30101219-0;MEJORAMIENTO CAMINOS BASICOS INTERMEDIOS RUTA A-685 Y A-675, PICA - SALAR DEL HUASCO;DISEÑO;A   ;860;0;0;0;0
Tarapacá;Vialidad;PROYECTOS;30101541-0;CONSERVACIÓN RUTA 5, SECTOR NUEVA VICTORIA CACHANGO;EJECUCION;A   ;872.827;0;0;0;0
Tarapacá;Vialidad;PROYECTOS;30102076-0;CONSERVACIÓN RED VIAL REGIÓN DE TARAPACA 2012-2014;DISEÑO;A   ;156.600;0;0;0;0
Tarapacá;Vialidad;PROYECTOS;30102076-0;CONSERVACIÓN RED VIAL REGIÓN DE TARAPACA 2012-2014;DISEÑO;N   ;103.425;31.375;0;0;0
Tarapacá;Vialidad;PROYECTOS;30102076-0;CONSERVACIÓN RED VIAL REGIÓN DE TARAPACA 2012-2014;EJECUCION;A   ;8.882.239;594.186;0;0;0
Tarapacá;Vialidad;PROYECTOS;30102076-0;CONSERVACIÓN RED VIAL REGIÓN DE TARAPACA 2012-2014;EJECUCION;N   ;7.637.403;9.156.650;0;0;0
Tarapacá;Vialidad;PROYECTOS;30106619-0;REPOSICIÓN RUTA 15-CH, SECTOR APACHETA CASIRI - QUEBRADA CASOXALLA POR SECTORES, HUARA;DISEÑO;A   ;90.116;0;0;0;0
Tarapacá;Vialidad;PROYECTOS;30106620-0;"REPOSICION RUTA 15-CH; SECTOR: ACCESO TARAPACA - ALTO CHUSMIZA, POR SECTORES, HUARA";DISEÑO;A   ;18.297;0;0;0;0
Tarapacá;Vialidad;PROYECTOS;30106622-0;CONSERVACION RUTA 5, SECTOR CACHANGO - BIF. EX OFICINA VICTORIA;EJECUCION;A   ;1.000;0;0;0;0
Tarapacá;Vialidad;PROYECTOS;30106622-0;CONSERVACION RUTA 5, SECTOR CACHANGO - BIF. EX OFICINA VICTORIA;EJECUCION;N   ;2;2.530.000;1.155.000;0;0
Tarapacá;Vialidad;PROYECTOS;30106624-0;REPOSICIÓN RUTA 5 SECTOR QUILLAGUA - HILARICOS;DISEÑO;A   ;149.637;27.359;0;0;0
